class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated
bs4.builder._html5lib.AttrList,0,0,0,0,0,0,0,0,0,0,0
bs4.element.AttributeValueWithCharsetSubstitution,2,0,2,0,0,0,2,0,0,0,0
bs4.BeautifulSoup,9,7,2,7,0,1,1,0,1,6,0
bs4.BeautifulStoneSoup,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_builder_registry.BuiltInRegistryTest,0,0,0,0,0,0,0,0,0,0,0
bs4.element.CData,1,1,0,1,0,1,0,0,0,0,0
bs4.element.CharsetMetaAttributeValue,1,1,0,1,0,1,0,0,0,0,0
bs4.element.Comment,1,1,0,1,0,1,0,0,0,0,0
bs4.element.ContentMetaAttributeValue,1,1,0,1,0,1,0,0,0,0,0
bs4.element.Declaration,1,1,0,1,0,1,0,0,0,0,0
bs4.element.Doctype,1,1,0,1,0,1,0,0,0,0,0
bs4.builder._html5lib.Element,1,0,1,0,0,0,1,0,0,0,0
bs4.dammit.EntitySubstitution,0,0,0,0,0,0,0,0,0,0,0
bs4.builder._html5lib.HTML5TreeBuilder,1,0,1,0,0,0,0,0,0,0,1
bs4.testing.HTML5TreeBuilderSmokeTest,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_htmlparser.HTMLParserTreeBuilderSmokeTest,2,2,0,2,0,2,0,0,0,0,0
bs4.builder.HTMLTreeBuilder,1,1,0,1,0,1,0,0,0,0,0
bs4.testing.HTMLTreeBuilderSmokeTest,3,0,3,0,0,0,3,0,0,0,0
bs4.builder._lxml.LXMLTreeBuilder,1,1,0,1,0,1,0,0,0,0,0
bs4.builder._lxml.LXMLTreeBuilderForXML,1,0,1,0,0,0,1,0,0,0,0
bs4.tests.test_lxml.LXMLTreeBuilderSmokeTest,2,2,0,2,0,2,0,0,0,0,0
bs4.tests.test_lxml.LXMLXMLTreeBuilderSmokeTest,2,2,0,2,0,2,0,0,0,0,0
bs4.element.NamespacedAttribute,0,0,0,0,0,0,0,0,0,0,0
bs4.element.NavigableString,5,2,3,2,1,1,1,1,2,0,0
bs4.element.PageElement,3,1,2,1,0,0,2,1,0,0,0
bs4.element.PreformattedString,6,1,5,1,0,1,5,0,0,0,0
bs4.element.ProcessingInstruction,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.ProximityTest,4,1,3,1,0,1,2,0,0,0,1
bs4.tests.test_builder_registry.RegistryTest,0,0,0,0,0,0,0,0,0,0,0
bs4.element.ResultSet,0,0,0,0,0,0,0,0,0,0,0
bs4.builder.SAXTreeBuilder,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.SiblingTest,4,1,3,1,0,1,2,0,0,0,1
bs4.element.SoupStrainer,0,0,0,0,0,0,0,0,0,0,0
bs4.testing.SoupTest,12,0,12,0,0,0,12,0,0,0,0
bs4.StopParsing,0,0,0,0,0,0,0,0,0,0,0
bs4.element.Tag,3,2,1,2,0,1,1,1,0,0,0
bs4.tests.test_tree.TestCDAtaListAttributes,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestElementObjects,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestEncoding,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestFind,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestFindAll,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestFindAllBasicNamespaces,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestFindAllByAttribute,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestFindAllByName,2,1,1,1,0,1,0,0,0,0,1
bs4.tests.test_tree.TestIndex,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestNavigableStringSubclasses,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestNextOperations,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestNextSibling,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestParentOperations,2,1,1,1,0,1,0,0,0,0,1
bs4.tests.test_tree.TestPersistence,2,1,1,1,0,1,0,0,0,0,1
bs4.tests.test_tree.TestPreviousOperations,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestPreviousSibling,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestSoupSelector,2,1,1,1,0,1,0,0,0,0,1
bs4.tests.test_tree.TestSubstitutions,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestTagCreation,1,1,0,1,0,1,0,0,0,0,0
bs4.tests.test_tree.TestTreeModification,1,1,0,1,0,1,0,0,0,0,0
bs4.builder._html5lib.TextNode,1,1,0,1,0,1,0,0,0,0,0
bs4.builder.TreeBuilder,2,0,2,0,0,0,2,0,0,0,0
bs4.builder._html5lib.TreeBuilderForHtml5lib,1,1,0,1,0,0,0,0,0,1,0
bs4.builder.TreeBuilderRegistry,0,0,0,0,0,0,0,0,0,0,0
bs4.tests.test_tree.TreeTest,11,1,10,1,0,1,10,0,0,0,0
bs4.dammit.UnicodeDammit,0,0,0,0,0,0,0,0,0,0,0
bs4.testing.XMLTreeBuilderSmokeTest,1,0,1,0,0,0,1,0,0,0,0
